r/a,ne,nD,nT,nHe
0.17062011475409836,1.796002104520737,0.7763692087492717,0.7763692087492717,0.0538800631356221
0.17673006147540984,1.7915760065144246,0.774721082104756,0.774721082104756,0.053747280195432734
0.1828380655737705,1.787006193946013,0.7730165077738381,0.7730165077738381,0.05361018581838038
0.18894282786885247,1.7822939697074078,0.7712556631509649,0.7712556631509649,0.05346881909122223
0.1950435450819672,1.7774407721459256,0.7694387723934945,0.7694387723934945,0.053323223164377764
0.20113996721311478,1.7724480743282383,0.7675660647024902,0.7675660647024902,0.05317344222984715
0.20723237704918032,1.7673174332740371,0.7656377937186325,0.7656377937186325,0.05301952299822111
0.21332122540983608,1.7620503891605146,0.7636541965811862,0.7636541965811862,0.052861511674815446
0.21940666803278688,1.7566486144988425,0.7616155593722821,0.7616155593722821,0.05269945843496528
0.22548851639344264,1.751113663283823,0.7595221074264156,0.7595221074264156,0.052533409898514696
0.2315665573770492,1.7454473201179577,0.7573741577241723,0.7573741577241723,0.05236341960353873
0.23764074180327868,1.739651349311192,0.755172013138657,0.755172013138657,0.052189540479335765
0.24371089344262298,1.733728372142498,0.7529156463569411,0.7529156463569411,0.052011851164274946
0.24977685655737705,1.7276835451013863,0.7506041369097722,0.7506041369097722,0.05183050635304158
0.25583825819672135,1.7215043694313625,0.748228014811815,0.748228014811815,0.05164513108294088
0.2618942868852459,1.7151742239303054,0.7457779291920902,0.7457779291920902,0.05145522671790917
0.2679438729508197,1.7086936584012264,0.7432537633457993,0.7432537633457993,0.05126080975203679
0.2739860163934426,1.702065592775795,0.7406567506713608,0.7406567506713608,0.05106196778327385
0.28001997950819674,1.695293166226685,0.7379882841722533,0.7379882841722533,0.05085879498680055
0.28604527459016393,1.6883794862699177,0.7352497601912134,0.7352497601912134,0.05065138458809752
0.2920615942622951,1.6813278278583736,0.7324426588742384,0.7324426588742384,0.05043983483575121
0.29806859836065575,1.6741413824676519,0.7295684298798328,0.7295684298798328,0.05022424147402955
0.30406603278688527,1.6668234571754565,0.7266285791230047,0.7266285791230047,0.0500047037152637
0.3100536352459016,1.6593775237356951,0.7236246891070612,0.7236246891070612,0.04978132571207085
0.3160311393442623,1.6518069176484538,0.7205582888902701,0.7205582888902701,0.04955420752945361
0.3219983729508197,1.6441151372270308,0.7174309829375328,0.7174309829375328,0.049323454116810925
