rho,ne,nD,nT,nHe
0.695,0.9602289408832194,0.40540413374518075,0.40540413374518075,0.04925642705847223
0.7,0.9563007726639151,0.4037730409283345,0.4037730409283345,0.049024464270904365
0.705,0.9524105799513006,0.40215708384408766,0.40215708384408766,0.04879539924931115
0.71,0.9485582457730369,0.400556232676583,0.400556232676583,0.048569205266580574
0.715,0.9447435943001027,0.3989704236686751,0.3989704236686751,0.04834586221976912
0.72,0.9409664493415079,0.39739959430929606,0.39739959430929606,0.04812534848021536
0.725,0.9372267354579831,0.3958437337570768,0.3958437337570768,0.04790763792713829
0.73,0.9335245975725042,0.3943029238222006,0.3943029238222006,0.04769271621734551
0.735,0.9298614659858475,0.3927777809587614,0.3927777809587614,0.04748064413259668
0.74,0.9262462163920285,0.3912720170458578,0.3912720170458578,0.04727191875351955
0.745,0.922731052704427,0.3898073700023509,0.3898073700023509,0.04706956337911586
0.75,0.9191857086668479,0.38832969526780386,0.38832969526780386,0.04686593019208184
0.755,0.9156750886647089,0.3868659948441127,0.3868659948441127,0.04666480316704777
0.76,0.9121984259285177,0.38541597123588217,0.38541597123588217,0.04646611464145526
0.765,0.9087558654348149,0.38397970853946567,0.38397970853946567,0.04626984748888561
0.77,0.905348074004566,0.3825575123400261,0.3825575123400261,0.04607601001809347
0.775,0.9019754888282482,0.381149598420229,0.381149598420229,0.045884590553196915
0.78,0.8986378810244884,0.3797559256152866,0.3797559256152866,0.04569551529264043
0.785,0.8953343704544219,0.3783762115307591,0.3783762115307591,0.04550863789017098
0.79,0.8920634879283739,0.3770099441249116,0.3770099441249116,0.04532375916830695
0.795,0.8888232666464833,0.37565639788788635,0.37565639788788635,0.04514065737040512
0.8,0.8856115136588422,0.37431472604039046,0.37431472604039046,0.04495912785765055
0.805,0.8824261553460556,0.37298409243370084,0.37298409243370084,0.044779017113138676
0.81,0.8792655319099615,0.37166379513097697,0.37166379513097697,0.04460023903683727
0.815,0.8761285392552133,0.37035333815313326,0.37035333815313326,0.04442276883671021
0.82,0.8730145764612707,0.3690524283838269,0.3690524283838269,0.044246618380861524
0.825,0.8699233292008112,0.36776090283223156,0.36776090283223156,0.04407180329700489
0.83,0.8668545957042832,0.3664786547772855,0.3664786547772855,0.04389833452502821
0.835,0.8638082147807044,0.36520559520350054,0.36520559520350054,0.043726224374194496
0.84,0.8607840267390915,0.3639416364614386,0.3639416364614386,0.04355548436542758
0.845,0.857781873270428,0.36268669224213707,0.36268669224213707,0.043386125192890417
