@TEAV,TDAV,TTAV,TAAV [keV]  vs t@
X,TEAV,TDAV,TTAV,TAAV
 0.1980000E+00, 0.3088686E+01, 0.2851390E+01, 0.2849285E+01, 0.2862927E+01,
 0.2000000E+00, 0.3088939E+01, 0.2850409E+01, 0.2848292E+01, 0.2861969E+01,
 0.2020000E+00, 0.3089210E+01, 0.2849459E+01, 0.2847331E+01, 0.2861042E+01,
 0.2040000E+00, 0.3089499E+01, 0.2848540E+01, 0.2846400E+01, 0.2860145E+01,
 0.2060000E+00, 0.3089805E+01, 0.2847651E+01, 0.2845500E+01, 0.2859279E+01,
 0.2080000E+00, 0.3090128E+01, 0.2846791E+01, 0.2844628E+01, 0.2858441E+01,
 0.2100000E+00, 0.3090468E+01, 0.2845959E+01, 0.2843786E+01, 0.2857632E+01,
 0.2120000E+00, 0.3090824E+01, 0.2845156E+01, 0.2842972E+01, 0.2856850E+01,
 0.2140000E+00, 0.3091196E+01, 0.2844381E+01, 0.2842185E+01, 0.2856097E+01,
 0.2160000E+00, 0.3091582E+01, 0.2843632E+01, 0.2841426E+01, 0.2855369E+01,
 0.2180000E+00, 0.3091984E+01, 0.2842910E+01, 0.2840693E+01, 0.2854668E+01,
 0.2200000E+00, 0.3092400E+01, 0.2842214E+01, 0.2839986E+01, 0.2853993E+01,
 0.2220000E+00, 0.3092831E+01, 0.2841543E+01, 0.2839304E+01, 0.2853343E+01,
 0.2240000E+00, 0.3093275E+01, 0.2840897E+01, 0.2838648E+01, 0.2852718E+01,
 0.2260000E+00, 0.3093733E+01, 0.2840275E+01, 0.2838016E+01, 0.2852117E+01,
 0.2280000E+00, 0.3094204E+01, 0.2839678E+01, 0.2837408E+01, 0.2851540E+01,
 0.2300000E+00, 0.3094688E+01, 0.2839104E+01, 0.2836824E+01, 0.2850987E+01,
 0.2320000E+00, 0.3095185E+01, 0.2838553E+01, 0.2836263E+01, 0.2850456E+01,
 0.2340000E+00, 0.3095694E+01, 0.2838026E+01, 0.2835725E+01, 0.2849948E+01,
 0.2360000E+00, 0.3096215E+01, 0.2837520E+01, 0.2835210E+01, 0.2849463E+01,
 0.2380000E+00, 0.3096748E+01, 0.2837036E+01, 0.2834716E+01, 0.2848999E+01,
 0.2400000E+00, 0.3097292E+01, 0.2836575E+01, 0.2834245E+01, 0.2848556E+01,
