@VLOOP [V]  vs t@
X,VLOOP
 0.8280000E+00, 0.4292962E+02
 0.8300000E+00, 0.4292708E+02
 0.8320000E+00, 0.4292450E+02
 0.8340000E+00, 0.4292189E+02
 0.8360000E+00, 0.4291924E+02
 0.8380000E+00, 0.4291656E+02
 0.8400000E+00, 0.4291384E+02
 0.8420000E+00, 0.4291109E+02
 0.8440000E+00, 0.4290830E+02
 0.8460000E+00, 0.4290548E+02
 0.8480000E+00, 0.4290262E+02
 0.8500000E+00, 0.4289973E+02
 0.8520000E+00, 0.4289680E+02
 0.8540000E+00, 0.4289384E+02
 0.8560000E+00, 0.4289086E+02
 0.8580000E+00, 0.4288783E+02
 0.8600000E+00, 0.4288478E+02
 0.8620000E+00, 0.4288169E+02
 0.8640000E+00, 0.4287857E+02
 0.8660000E+00, 0.4287542E+02
 0.8680000E+00, 0.4287224E+02
 0.8700000E+00, 0.4286903E+02
 0.8720000E+00, 0.4286578E+02
 0.8740000E+00, 0.4286251E+02
 0.8760000E+00, 0.4285920E+02
 0.8780000E+00, 0.4285587E+02
 0.8800000E+00, 0.4285250E+02
 0.8820000E+00, 0.4284911E+02
 0.8840000E+00, 0.4284568E+02
 0.8860000E+00, 0.4284223E+02
 0.8880000E+00, 0.4283875E+02
 0.8900000E+00, 0.4283524E+02
 0.8920000E+00, 0.4283170E+02
 0.8940000E+00, 0.4282813E+02
 0.8960000E+00, 0.4282454E+02
 0.8980000E+00, 0.4282092E+02
 0.9000000E+00, 0.4281726E+02
 0.9020000E+00, 0.4281359E+02
 0.9040000E+00, 0.4280988E+02
 0.9060000E+00, 0.4280615E+02
 0.9080000E+00, 0.4280239E+02
 0.9100000E+00, 0.4279861E+02
 0.9120000E+00, 0.4279480E+02
 0.9140000E+00, 0.4279097E+02
 0.9160000E+00, 0.4278711E+02
 0.9180000E+00, 0.4278322E+02
 0.9200000E+00, 0.4277931E+02
 0.9220000E+00, 0.4277538E+02
 0.9240000E+00, 0.4277141E+02
 0.9260000E+00, 0.4276743E+02
 0.9280000E+00, 0.4276342E+02
 0.9300000E+00, 0.4275938E+02
 0.9320000E+00, 0.4275533E+02
 0.9340000E+00, 0.4275125E+02
 0.9360000E+00, 0.4274714E+02
 0.9380000E+00, 0.4274302E+02
 0.9400000E+00, 0.4273886E+02
 0.9420000E+00, 0.4273469E+02
 0.9440000E+00, 0.4273050E+02
 0.9460000E+00, 0.4272628E+02
 0.9480000E+00, 0.4272204E+02
 0.9500000E+00, 0.4271778E+02
 0.9520000E+00, 0.4271349E+02
 0.9540000E+00, 0.4270919E+02
 0.9560000E+00, 0.4270486E+02
 0.9580000E+00, 0.4270052E+02
 0.9600000E+00, 0.4269615E+02
 0.9620000E+00, 0.4269176E+02
 0.9640000E+00, 0.4268735E+02
 0.9660000E+00, 0.4268292E+02
 0.9680000E+00, 0.4267847E+02
 0.9700000E+00, 0.4267400E+02
 0.9720000E+00, 0.4266951E+02
 0.9740000E+00, 0.4266500E+02
 0.9760000E+00, 0.4266048E+02
 0.9780000E+00, 0.4265593E+02
 0.9800000E+00, 0.4265137E+02
 0.9820000E+00, 0.4264678E+02
 0.9840000E+00, 0.4264218E+02
 0.9860000E+00, 0.4263756E+02
 0.9880000E+00, 0.4263292E+02
 0.9900000E+00, 0.4262826E+02
 0.9920000E+00, 0.4262359E+02
 0.9940000E+00, 0.4261890E+02
 0.9960000E+00, 0.4261419E+02
 0.9980000E+00, 0.4260946E+02
 0.1000000E+01, 0.4260471E+02
 0.1002000E+01, 0.4259995E+02
 0.1004000E+01, 0.4259517E+02
 0.1006000E+01, 0.4259038E+02
 0.1008000E+01, 0.4258557E+02
 0.1010000E+01, 0.4258074E+02
 0.1012000E+01, 0.4257590E+02
 0.1014000E+01, 0.4257104E+02
 0.1016000E+01, 0.4256617E+02
 0.1018000E+01, 0.4256128E+02
 0.1020000E+01, 0.4255637E+02
 0.1022000E+01, 0.4255145E+02
 0.1024000E+01, 0.4254652E+02
 0.1026000E+01, 0.4254157E+02
 0.1028000E+01, 0.4253660E+02
 0.1030000E+01, 0.4253162E+02
 0.1032000E+01, 0.4252663E+02
 0.1034000E+01, 0.4252163E+02
 0.1036000E+01, 0.4251660E+02
 0.1038000E+01, 0.4251157E+02
 0.1040000E+01, 0.4250652E+02
 0.1042000E+01, 0.4250146E+02
 0.1044000E+01, 0.4249638E+02
 0.1046000E+01, 0.4249129E+02
 0.1048000E+01, 0.4248619E+02
 0.1050000E+01, 0.4248108E+02
 0.1052000E+01, 0.4247595E+02
 0.1054000E+01, 0.4247081E+02
 0.1056000E+01, 0.4246565E+02
 0.1058000E+01, 0.4246049E+02
 0.1060000E+01, 0.4245531E+02
 0.1062000E+01, 0.4245012E+02
 0.1064000E+01, 0.4244492E+02
 0.1066000E+01, 0.4243971E+02
 0.1068000E+01, 0.4243449E+02
 0.1070000E+01, 0.4242925E+02
 0.1072000E+01, 0.4242400E+02
 0.1074000E+01, 0.4241875E+02
 0.1076000E+01, 0.4241348E+02
 0.1078000E+01, 0.4240820E+02
 0.1080000E+01, 0.4240291E+02
 0.1082000E+01, 0.4239761E+02
 0.1084000E+01, 0.4239230E+02
 0.1086000E+01, 0.4238697E+02
 0.1088000E+01, 0.4238164E+02
 0.1090000E+01, 0.4237630E+02
 0.1092000E+01, 0.4237095E+02
 0.1094000E+01, 0.4236559E+02
 0.1096000E+01, 0.4236022E+02
 0.1098000E+01, 0.4235484E+02
 0.1100000E+01, 0.4234945E+02
 0.1102000E+01, 0.4234405E+02
 0.1104000E+01, 0.4233864E+02
 0.1106000E+01, 0.4233322E+02
 0.1108000E+01, 0.4232780E+02
 0.1110000E+01, 0.4232236E+02
 0.1112000E+01, 0.4231692E+02
 0.1114000E+01, 0.4231147E+02
 0.1116000E+01, 0.4230601E+02
 0.1118000E+01, 0.4230054E+02
 0.1120000E+01, 0.4229506E+02
 0.1122000E+01, 0.4228958E+02
 0.1124000E+01, 0.4228409E+02
 0.1126000E+01, 0.4227859E+02
 0.1128000E+01, 0.4227308E+02
 0.1130000E+01, 0.4226757E+02
 0.1132000E+01, 0.4226204E+02
 0.1134000E+01, 0.4225652E+02
 0.1136000E+01, 0.4225098E+02
 0.1138000E+01, 0.4224543E+02
 0.1140000E+01, 0.4223988E+02
 0.1142000E+01, 0.4223433E+02
 0.1144000E+01, 0.4222876E+02
 0.1146000E+01, 0.4222319E+02
 0.1148000E+01, 0.4221762E+02
 0.1150000E+01, 0.4221203E+02
 0.1152000E+01, 0.4220644E+02
 0.1154000E+01, 0.4220085E+02
 0.1156000E+01, 0.4219525E+02
 0.1158000E+01, 0.4218964E+02
 0.1160000E+01, 0.4218402E+02
 0.1162000E+01, 0.4217841E+02
 0.1164000E+01, 0.4217278E+02
 0.1166000E+01, 0.4216715E+02
 0.1168000E+01, 0.4216151E+02
 0.1170000E+01, 0.4215588E+02
 0.1172000E+01, 0.4215023E+02
 0.1174000E+01, 0.4214458E+02
 0.1176000E+01, 0.4213892E+02
 0.1178000E+01, 0.4213326E+02
 0.1180000E+01, 0.4212759E+02
 0.1182000E+01, 0.4212193E+02
 0.1184000E+01, 0.4211625E+02
 0.1186000E+01, 0.4211057E+02
 0.1188000E+01, 0.4210489E+02
 0.1190000E+01, 0.4209920E+02
 0.1192000E+01, 0.4209351E+02
 0.1194000E+01, 0.4208781E+02
 0.1196000E+01, 0.4208211E+02
 0.1198000E+01, 0.4207640E+02
 0.1200000E+01, 0.4207069E+02
 0.1202000E+01, 0.4206498E+02
 0.1204000E+01, 0.4205927E+02
 0.1206000E+01, 0.4205355E+02
 0.1208000E+01, 0.4204782E+02
 0.1210000E+01, 0.4204210E+02
 0.1212000E+01, 0.4203637E+02
 0.1214000E+01, 0.4203064E+02
 0.1216000E+01, 0.4202490E+02
 0.1218000E+01, 0.4201916E+02
 0.1220000E+01, 0.4201342E+02
 0.1222000E+01, 0.4200768E+02
 0.1224000E+01, 0.4200193E+02
 0.1226000E+01, 0.4199617E+02
 0.1228000E+01, 0.4199042E+02
 0.1230000E+01, 0.4198466E+02
 0.1232000E+01, 0.4197891E+02
 0.1234000E+01, 0.4197315E+02
 0.1236000E+01, 0.4196738E+02
 0.1238000E+01, 0.4196162E+02
 0.1240000E+01, 0.4195585E+02
 0.1242000E+01, 0.4195008E+02
 0.1244000E+01, 0.4194431E+02
 0.1246000E+01, 0.4193854E+02
 0.1248000E+01, 0.4193277E+02
 0.1250000E+01, 0.4192699E+02
 0.1252000E+01, 0.4192121E+02
 0.1254000E+01, 0.4191543E+02
 0.1256000E+01, 0.4190965E+02
 0.1258000E+01, 0.4190387E+02
 0.1260000E+01, 0.4189808E+02
 0.1262000E+01, 0.4189230E+02
 0.1264000E+01, 0.4188651E+02
 0.1266000E+01, 0.4188072E+02
 0.1268000E+01, 0.4187493E+02
 0.1270000E+01, 0.4186914E+02
 0.1272000E+01, 0.4186335E+02
 0.1274000E+01, 0.4185756E+02
 0.1276000E+01, 0.4185176E+02
 0.1278000E+01, 0.4184597E+02
 0.1280000E+01, 0.4184017E+02
 0.1282000E+01, 0.4183438E+02
 0.1284000E+01, 0.4182858E+02
 0.1286000E+01, 0.4182278E+02
 0.1288000E+01, 0.4181699E+02
 0.1290000E+01, 0.4181119E+02
 0.1292000E+01, 0.4180539E+02
 0.1294000E+01, 0.4179959E+02
 0.1296000E+01, 0.4179380E+02
 0.1298000E+01, 0.4178800E+02
 0.1300000E+01, 0.4178220E+02
 0.1302000E+01, 0.4177641E+02
 0.1304000E+01, 0.4177061E+02
 0.1306000E+01, 0.4176481E+02
 0.1308000E+01, 0.4175901E+02
 0.1310000E+01, 0.4175321E+02
 0.1312000E+01, 0.4174741E+02
 0.1314000E+01, 0.4174162E+02
 0.1316000E+01, 0.4173582E+02
 0.1318000E+01, 0.4173002E+02
 0.1320000E+01, 0.4172423E+02
 0.1322000E+01, 0.4171843E+02
 0.1324000E+01, 0.4171264E+02
 0.1326000E+01, 0.4170684E+02
 0.1328000E+01, 0.4170105E+02
 0.1330000E+01, 0.4169526E+02
 0.1332000E+01, 0.4168947E+02
 0.1334000E+01, 0.4168368E+02
 0.1336000E+01, 0.4167789E+02
 0.1338000E+01, 0.4167210E+02
 0.1340000E+01, 0.4166631E+02
 0.1342000E+01, 0.4166053E+02
 0.1344000E+01, 0.4165474E+02
 0.1346000E+01, 0.4164896E+02
 0.1348000E+01, 0.4164317E+02
 0.1350000E+01, 0.4163739E+02
 0.1352000E+01, 0.4163161E+02
 0.1354000E+01, 0.4162583E+02
 0.1356000E+01, 0.4162006E+02
 0.1358000E+01, 0.4161428E+02
 0.1360000E+01, 0.4160851E+02
 0.1362000E+01, 0.4160273E+02
 0.1364000E+01, 0.4159696E+02
 0.1366000E+01, 0.4159119E+02
 0.1368000E+01, 0.4158542E+02
 0.1370000E+01, 0.4157966E+02
 0.1372000E+01, 0.4157389E+02
 0.1374000E+01, 0.4156813E+02
 0.1376000E+01, 0.4156237E+02
 0.1378000E+01, 0.4155661E+02
 0.1380000E+01, 0.4155086E+02
 0.1382000E+01, 0.4154510E+02
 0.1384000E+01, 0.4153935E+02
 0.1386000E+01, 0.4153360E+02
 0.1388000E+01, 0.4152785E+02
 0.1390000E+01, 0.4152211E+02
