@IP,IOH,INB,IRF,IBS,IPARA [MA]  vs t@
X,IP,IOH,INB,IRF,IBS,IPARA
 0.1200000E+01, 0.1399702E+02, 0.1353170E+02, 0.0000000E+00, 0.0000000E+00, 0.1608933E+00, 0.1369260E+02,
 0.1220000E+01, 0.1399702E+02, 0.1353096E+02, 0.0000000E+00, 0.0000000E+00, 0.1616412E+00, 0.1369260E+02,
 0.1240000E+01, 0.1399702E+02, 0.1353021E+02, 0.0000000E+00, 0.0000000E+00, 0.1623859E+00, 0.1369260E+02,
 0.1260000E+01, 0.1399702E+02, 0.1352947E+02, 0.0000000E+00, 0.0000000E+00, 0.1631274E+00, 0.1369260E+02,
 0.1280000E+01, 0.1399702E+02, 0.1352873E+02, 0.0000000E+00, 0.0000000E+00, 0.1638657E+00, 0.1369260E+02,
 0.1300000E+01, 0.1399702E+02, 0.1352800E+02, 0.0000000E+00, 0.0000000E+00, 0.1646007E+00, 0.1369260E+02,
 0.1320000E+01, 0.1399702E+02, 0.1352727E+02, 0.0000000E+00, 0.0000000E+00, 0.1653326E+00, 0.1369260E+02,
 0.1340000E+01, 0.1399702E+02, 0.1352654E+02, 0.0000000E+00, 0.0000000E+00, 0.1660612E+00, 0.1369260E+02,
 0.1360000E+01, 0.1399702E+02, 0.1352581E+02, 0.0000000E+00, 0.0000000E+00, 0.1667866E+00, 0.1369260E+02,
 0.1380000E+01, 0.1399702E+02, 0.1352509E+02, 0.0000000E+00, 0.0000000E+00, 0.1675087E+00, 0.1369260E+02,
 0.1400000E+01, 0.1399702E+02, 0.1352437E+02, 0.0000000E+00, 0.0000000E+00, 0.1682276E+00, 0.1369260E+02,
 0.1420000E+01, 0.1399702E+02, 0.1352365E+02, 0.0000000E+00, 0.0000000E+00, 0.1689433E+00, 0.1369260E+02,
 0.1440000E+01, 0.1399702E+02, 0.1352294E+02, 0.0000000E+00, 0.0000000E+00, 0.1696557E+00, 0.1369260E+02,
 0.1460000E+01, 0.1399702E+02, 0.1352223E+02, 0.0000000E+00, 0.0000000E+00, 0.1703649E+00, 0.1369260E+02,
 0.1480000E+01, 0.1399702E+02, 0.1352153E+02, 0.0000000E+00, 0.0000000E+00, 0.1710708E+00, 0.1369260E+02,
 0.1500000E+01, 0.1399702E+02, 0.1352083E+02, 0.0000000E+00, 0.0000000E+00, 0.1717734E+00, 0.1369260E+02,
 0.1520000E+01, 0.1399702E+02, 0.1352013E+02, 0.0000000E+00, 0.0000000E+00, 0.1724728E+00, 0.1369260E+02,
 0.1540000E+01, 0.1399702E+02, 0.1351943E+02, 0.0000000E+00, 0.0000000E+00, 0.1731690E+00, 0.1369260E+02,
 0.1560000E+01, 0.1399702E+02, 0.1351874E+02, 0.0000000E+00, 0.0000000E+00, 0.1738619E+00, 0.1369260E+02,
 0.1580000E+01, 0.1399702E+02, 0.1351805E+02, 0.0000000E+00, 0.0000000E+00, 0.1745515E+00, 0.1369260E+02,
 0.1600000E+01, 0.1399702E+02, 0.1351736E+02, 0.0000000E+00, 0.0000000E+00, 0.1752378E+00, 0.1369260E+02,
 0.1620000E+01, 0.1399702E+02, 0.1351668E+02, 0.0000000E+00, 0.0000000E+00, 0.1759209E+00, 0.1369260E+02,
 0.1640000E+01, 0.1399702E+02, 0.1351600E+02, 0.0000000E+00, 0.0000000E+00, 0.1766007E+00, 0.1369260E+02,
 0.1660000E+01, 0.1399702E+02, 0.1351532E+02, 0.0000000E+00, 0.0000000E+00, 0.1772772E+00, 0.1369260E+02,
 0.1680000E+01, 0.1399702E+02, 0.1351465E+02, 0.0000000E+00, 0.0000000E+00, 0.1779505E+00, 0.1369260E+02,
 0.1700000E+01, 0.1399702E+02, 0.1351398E+02, 0.0000000E+00, 0.0000000E+00, 0.1786204E+00, 0.1369260E+02,
 0.1720000E+01, 0.1399702E+02, 0.1351331E+02, 0.0000000E+00, 0.0000000E+00, 0.1792871E+00, 0.1369260E+02,
 0.1740000E+01, 0.1399702E+02, 0.1351265E+02, 0.0000000E+00, 0.0000000E+00, 0.1799505E+00, 0.1369260E+02,
 0.1760000E+01, 0.1399702E+02, 0.1351199E+02, 0.0000000E+00, 0.0000000E+00, 0.1806106E+00, 0.1369260E+02,
 0.1780000E+01, 0.1399702E+02, 0.1351133E+02, 0.0000000E+00, 0.0000000E+00, 0.1812675E+00, 0.1369260E+02,
 0.1800000E+01, 0.1399702E+02, 0.1351068E+02, 0.0000000E+00, 0.0000000E+00, 0.1819210E+00, 0.1369260E+02,
 0.1820000E+01, 0.1399702E+02, 0.1351003E+02, 0.0000000E+00, 0.0000000E+00, 0.1825713E+00, 0.1369260E+02,
 0.1840000E+01, 0.1399702E+02, 0.1350938E+02, 0.0000000E+00, 0.0000000E+00, 0.1832183E+00, 0.1369260E+02,
 0.1860000E+01, 0.1399702E+02, 0.1350874E+02, 0.0000000E+00, 0.0000000E+00, 0.1838621E+00, 0.1369260E+02,
 0.1880000E+01, 0.1399702E+02, 0.1350810E+02, 0.0000000E+00, 0.0000000E+00, 0.1845026E+00, 0.1369260E+02,
 0.1900000E+01, 0.1399702E+02, 0.1350746E+02, 0.0000000E+00, 0.0000000E+00, 0.1851398E+00, 0.1369260E+02,
 0.1920000E+01, 0.1399702E+02, 0.1350682E+02, 0.0000000E+00, 0.0000000E+00, 0.1857737E+00, 0.1369260E+02,
 0.1940000E+01, 0.1399702E+02, 0.1350619E+02, 0.0000000E+00, 0.0000000E+00, 0.1864044E+00, 0.1369260E+02,
 0.1960000E+01, 0.1399702E+02, 0.1350557E+02, 0.0000000E+00, 0.0000000E+00, 0.1870319E+00, 0.1369260E+02,
 0.1980000E+01, 0.1399702E+02, 0.1350494E+02, 0.0000000E+00, 0.0000000E+00, 0.1876560E+00, 0.1369260E+02,
 0.2000000E+01, 0.1399702E+02, 0.1350432E+02, 0.0000000E+00, 0.0000000E+00, 0.1882770E+00, 0.1369260E+02,
 0.2020000E+01, 0.1399702E+02, 0.1350370E+02, 0.0000000E+00, 0.0000000E+00, 0.1888947E+00, 0.1369260E+02,
 0.2040000E+01, 0.1399702E+02, 0.1350309E+02, 0.0000000E+00, 0.0000000E+00, 0.1895092E+00, 0.1369260E+02,
 0.2060000E+01, 0.1399702E+02, 0.1350248E+02, 0.0000000E+00, 0.0000000E+00, 0.1901204E+00, 0.1369260E+02,
 0.2080000E+01, 0.1399702E+02, 0.1350187E+02, 0.0000000E+00, 0.0000000E+00, 0.1907285E+00, 0.1369260E+02,
 0.2100000E+01, 0.1399702E+02, 0.1350127E+02, 0.0000000E+00, 0.0000000E+00, 0.1913333E+00, 0.1369260E+02,
 0.2120000E+01, 0.1399702E+02, 0.1350066E+02, 0.0000000E+00, 0.0000000E+00, 0.1919349E+00, 0.1369260E+02,
 0.2140000E+01, 0.1399702E+02, 0.1350006E+02, 0.0000000E+00, 0.0000000E+00, 0.1925333E+00, 0.1369260E+02,
 0.2160000E+01, 0.1399702E+02, 0.1349947E+02, 0.0000000E+00, 0.0000000E+00, 0.1931285E+00, 0.1369260E+02,
 0.2180000E+01, 0.1399702E+02, 0.1349888E+02, 0.0000000E+00, 0.0000000E+00, 0.1937206E+00, 0.1369260E+02,
 0.2200000E+01, 0.1399702E+02, 0.1349829E+02, 0.0000000E+00, 0.0000000E+00, 0.1943095E+00, 0.1369260E+02,
 0.2220000E+01, 0.1399702E+02, 0.1349770E+02, 0.0000000E+00, 0.0000000E+00, 0.1948952E+00, 0.1369260E+02,
 0.2240000E+01, 0.1399702E+02, 0.1349712E+02, 0.0000000E+00, 0.0000000E+00, 0.1954778E+00, 0.1369260E+02,
 0.2260000E+01, 0.1399702E+02, 0.1349654E+02, 0.0000000E+00, 0.0000000E+00, 0.1960573E+00, 0.1369260E+02,
 0.2280000E+01, 0.1399702E+02, 0.1349597E+02, 0.0000000E+00, 0.0000000E+00, 0.1966336E+00, 0.1369260E+02,
 0.2300000E+01, 0.1399702E+02, 0.1349539E+02, 0.0000000E+00, 0.0000000E+00, 0.1972068E+00, 0.1369260E+02,
 0.2320000E+01, 0.1399702E+02, 0.1349482E+02, 0.0000000E+00, 0.0000000E+00, 0.1977769E+00, 0.1369260E+02,
 0.2340000E+01, 0.1399702E+02, 0.1349425E+02, 0.0000000E+00, 0.0000000E+00, 0.1983439E+00, 0.1369260E+02,
 0.2360000E+01, 0.1399702E+02, 0.1349369E+02, 0.0000000E+00, 0.0000000E+00, 0.1989078E+00, 0.1369260E+02,
 0.2380000E+01, 0.1399702E+02, 0.1349313E+02, 0.0000000E+00, 0.0000000E+00, 0.1994687E+00, 0.1369260E+02,
 0.2400000E+01, 0.1399702E+02, 0.1349257E+02, 0.0000000E+00, 0.0000000E+00, 0.2000265E+00, 0.1369260E+02,
 0.2420000E+01, 0.1399702E+02, 0.1349202E+02, 0.0000000E+00, 0.0000000E+00, 0.2005812E+00, 0.1369260E+02,
 0.2440000E+01, 0.1399702E+02, 0.1349147E+02, 0.0000000E+00, 0.0000000E+00, 0.2011329E+00, 0.1369260E+02,
 0.2460000E+01, 0.1399702E+02, 0.1349092E+02, 0.0000000E+00, 0.0000000E+00, 0.2016816E+00, 0.1369260E+02,
 0.2480000E+01, 0.1399702E+02, 0.1349037E+02, 0.0000000E+00, 0.0000000E+00, 0.2022273E+00, 0.1369260E+02,
 0.2500000E+01, 0.1399702E+02, 0.1348983E+02, 0.0000000E+00, 0.0000000E+00, 0.2027700E+00, 0.1369260E+02,
 0.2520000E+01, 0.1399702E+02, 0.1348929E+02, 0.0000000E+00, 0.0000000E+00, 0.2033097E+00, 0.1369260E+02,
 0.2540000E+01, 0.1399702E+02, 0.1348875E+02, 0.0000000E+00, 0.0000000E+00, 0.2038465E+00, 0.1369260E+02,
 0.2560000E+01, 0.1399702E+02, 0.1348822E+02, 0.0000000E+00, 0.0000000E+00, 0.2043803E+00, 0.1369260E+02,
 0.2580000E+01, 0.1399702E+02, 0.1348769E+02, 0.0000000E+00, 0.0000000E+00, 0.2049112E+00, 0.1369260E+02,
 0.2600000E+01, 0.1399702E+02, 0.1348716E+02, 0.0000000E+00, 0.0000000E+00, 0.2054391E+00, 0.1369260E+02,
 0.2620000E+01, 0.1399702E+02, 0.1348663E+02, 0.0000000E+00, 0.0000000E+00, 0.2059641E+00, 0.1369260E+02,
 0.2640000E+01, 0.1399702E+02, 0.1348611E+02, 0.0000000E+00, 0.0000000E+00, 0.2064863E+00, 0.1369260E+02,
 0.2660000E+01, 0.1399702E+02, 0.1348559E+02, 0.0000000E+00, 0.0000000E+00, 0.2070055E+00, 0.1369260E+02,
 0.2680000E+01, 0.1399702E+02, 0.1348508E+02, 0.0000000E+00, 0.0000000E+00, 0.2075219E+00, 0.1369260E+02,
 0.2700000E+01, 0.1399702E+02, 0.1348456E+02, 0.0000000E+00, 0.0000000E+00, 0.2080354E+00, 0.1369260E+02,
 0.2720000E+01, 0.1399702E+02, 0.1348405E+02, 0.0000000E+00, 0.0000000E+00, 0.2085461E+00, 0.1369260E+02,
 0.2740000E+01, 0.1399702E+02, 0.1348354E+02, 0.0000000E+00, 0.0000000E+00, 0.2090540E+00, 0.1369260E+02,
 0.2760000E+01, 0.1399702E+02, 0.1348304E+02, 0.0000000E+00, 0.0000000E+00, 0.2095591E+00, 0.1369260E+02,
 0.2780000E+01, 0.1399702E+02, 0.1348254E+02, 0.0000000E+00, 0.0000000E+00, 0.2100614E+00, 0.1369260E+02,
