@QF  vs t@
X,QF
 0.4220000E+00, 0.6636418E+00
 0.4240000E+00, 0.6649716E+00
 0.4260000E+00, 0.6663028E+00
 0.4280000E+00, 0.6676351E+00
 0.4300000E+00, 0.6689686E+00
 0.4320000E+00, 0.6703033E+00
 0.4340000E+00, 0.6716392E+00
 0.4360000E+00, 0.6729762E+00
 0.4380000E+00, 0.6743143E+00
 0.4400000E+00, 0.6756535E+00
 0.4420000E+00, 0.6769937E+00
 0.4440000E+00, 0.6783351E+00
 0.4460000E+00, 0.6796774E+00
 0.4480000E+00, 0.6810209E+00
 0.4500000E+00, 0.6823652E+00
 0.4520000E+00, 0.6837106E+00
 0.4540000E+00, 0.6850570E+00
 0.4560000E+00, 0.6864043E+00
 0.4580000E+00, 0.6877527E+00
 0.4600000E+00, 0.6891019E+00
 0.4620000E+00, 0.6904520E+00
 0.4640000E+00, 0.6918032E+00
 0.4660000E+00, 0.6931551E+00
 0.4680000E+00, 0.6945080E+00
 0.4700000E+00, 0.6958617E+00
 0.4720000E+00, 0.6972163E+00
 0.4740000E+00, 0.6985718E+00
 0.4760000E+00, 0.6999282E+00
 0.4780000E+00, 0.7012853E+00
 0.4800000E+00, 0.7026433E+00
 0.4820000E+00, 0.7040021E+00
 0.4840000E+00, 0.7053618E+00
 0.4860000E+00, 0.7067223E+00
 0.4880000E+00, 0.7080835E+00
 0.4900000E+00, 0.7094455E+00
 0.4920000E+00, 0.7108084E+00
 0.4940000E+00, 0.7121720E+00
 0.4960000E+00, 0.7135364E+00
 0.4980000E+00, 0.7149015E+00
 0.5000000E+00, 0.7162674E+00
 0.5020000E+00, 0.7176341E+00
 0.5040000E+00, 0.7190015E+00
 0.5060000E+00, 0.7203696E+00
 0.5080000E+00, 0.7217385E+00
 0.5100000E+00, 0.7231081E+00
 0.5120000E+00, 0.7244784E+00
 0.5140000E+00, 0.7258494E+00
 0.5160000E+00, 0.7272212E+00
 0.5180000E+00, 0.7285936E+00
 0.5200000E+00, 0.7299668E+00
 0.5220000E+00, 0.7313406E+00
 0.5240000E+00, 0.7327152E+00
 0.5260000E+00, 0.7340904E+00
 0.5280000E+00, 0.7354663E+00
 0.5300000E+00, 0.7368429E+00
 0.5320000E+00, 0.7382201E+00
 0.5340000E+00, 0.7395980E+00
 0.5360000E+00, 0.7409765E+00
 0.5380000E+00, 0.7423557E+00
 0.5400000E+00, 0.7437356E+00
