@TE0,TD0,TT0,TA0 [keV]  vs t@
X,TE0,TD0,TT0,TA0
 0.3420000E+01, 0.1865884E+01, 0.1876232E+01, 0.1876538E+01, 0.1876040E+01,
 0.3440000E+01, 0.1869628E+01, 0.1880005E+01, 0.1880311E+01, 0.1879812E+01,
 0.3460000E+01, 0.1873358E+01, 0.1883764E+01, 0.1884071E+01, 0.1883571E+01,
 0.3480000E+01, 0.1877075E+01, 0.1887509E+01, 0.1887816E+01, 0.1887316E+01,
 0.3500000E+01, 0.1880778E+01, 0.1891241E+01, 0.1891549E+01, 0.1891048E+01,
 0.3520000E+01, 0.1884468E+01, 0.1894959E+01, 0.1895267E+01, 0.1894766E+01,
 0.3540000E+01, 0.1888145E+01, 0.1898664E+01, 0.1898973E+01, 0.1898471E+01,
 0.3560000E+01, 0.1891809E+01, 0.1902356E+01, 0.1902665E+01, 0.1902163E+01,
 0.3580000E+01, 0.1895459E+01, 0.1906035E+01, 0.1906344E+01, 0.1905841E+01,
 0.3600000E+01, 0.1899097E+01, 0.1909701E+01, 0.1910010E+01, 0.1909507E+01,
 0.3620000E+01, 0.1902722E+01, 0.1913354E+01, 0.1913664E+01, 0.1913159E+01,
 0.3640000E+01, 0.1906335E+01, 0.1916994E+01, 0.1917304E+01, 0.1916799E+01,
 0.3660000E+01, 0.1909935E+01, 0.1920621E+01, 0.1920932E+01, 0.1920426E+01,
 0.3680000E+01, 0.1913522E+01, 0.1924235E+01, 0.1924547E+01, 0.1924040E+01,
 0.3700000E+01, 0.1917097E+01, 0.1927837E+01, 0.1928149E+01, 0.1927642E+01,
 0.3720000E+01, 0.1920660E+01, 0.1931427E+01, 0.1931739E+01, 0.1931231E+01,
 0.3740000E+01, 0.1924210E+01, 0.1935004E+01, 0.1935316E+01, 0.1934808E+01,
 0.3760000E+01, 0.1927749E+01, 0.1938569E+01, 0.1938882E+01, 0.1938373E+01,
 0.3780000E+01, 0.1931275E+01, 0.1942122E+01, 0.1942435E+01, 0.1941925E+01,
 0.3800000E+01, 0.1934789E+01, 0.1945662E+01, 0.1945976E+01, 0.1945466E+01,
 0.3820000E+01, 0.1938292E+01, 0.1949191E+01, 0.1949504E+01, 0.1948994E+01,
 0.3840000E+01, 0.1941782E+01, 0.1952707E+01, 0.1953021E+01, 0.1952510E+01,
 0.3860000E+01, 0.1945261E+01, 0.1956212E+01, 0.1956526E+01, 0.1956015E+01,
 0.3880000E+01, 0.1948729E+01, 0.1959705E+01, 0.1960020E+01, 0.1959508E+01,
 0.3900000E+01, 0.1952184E+01, 0.1963186E+01, 0.1963501E+01, 0.1962989E+01,
 0.3920000E+01, 0.1955629E+01, 0.1966656E+01, 0.1966971E+01, 0.1966458E+01,
 0.3940000E+01, 0.1959061E+01, 0.1970114E+01, 0.1970430E+01, 0.1969916E+01,
 0.3960000E+01, 0.1962483E+01, 0.1973561E+01, 0.1973877E+01, 0.1973363E+01,
 0.3980000E+01, 0.1965893E+01, 0.1976996E+01, 0.1977313E+01, 0.1976798E+01,
 0.4000000E+01, 0.1969292E+01, 0.1980420E+01, 0.1980737E+01, 0.1980222E+01,
 0.4020000E+01, 0.1972681E+01, 0.1983833E+01, 0.1984150E+01, 0.1983634E+01,
 0.4040000E+01, 0.1976058E+01, 0.1987235E+01, 0.1987552E+01, 0.1987036E+01,
 0.4060000E+01, 0.1979424E+01, 0.1990626E+01, 0.1990943E+01, 0.1990427E+01,
 0.4080000E+01, 0.1982779E+01, 0.1994005E+01, 0.1994323E+01, 0.1993806E+01,
 0.4100000E+01, 0.1986124E+01, 0.1997374E+01, 0.1997692E+01, 0.1997175E+01,
 0.4120000E+01, 0.1989458E+01, 0.2000732E+01, 0.2001051E+01, 0.2000533E+01,
 0.4140000E+01, 0.1992781E+01, 0.2004080E+01, 0.2004398E+01, 0.2003880E+01,
 0.4160000E+01, 0.1996094E+01, 0.2007416E+01, 0.2007735E+01, 0.2007216E+01,
 0.4180000E+01, 0.1999396E+01, 0.2010742E+01, 0.2011062E+01, 0.2010542E+01,
 0.4200000E+01, 0.2002688E+01, 0.2014058E+01, 0.2014377E+01, 0.2013857E+01,
 0.4220000E+01, 0.2005969E+01, 0.2017363E+01, 0.2017683E+01, 0.2017162E+01,
 0.4240000E+01, 0.2009240E+01, 0.2020658E+01, 0.2020978E+01, 0.2020457E+01,
 0.4260000E+01, 0.2012501E+01, 0.2023942E+01, 0.2024262E+01, 0.2023741E+01,
 0.4280000E+01, 0.2015752E+01, 0.2027216E+01, 0.2027537E+01, 0.2027015E+01,
 0.4300000E+01, 0.2018993E+01, 0.2030480E+01, 0.2030801E+01, 0.2030278E+01,
 0.4320000E+01, 0.2022224E+01, 0.2033734E+01, 0.2034055E+01, 0.2033532E+01,
 0.4340000E+01, 0.2025445E+01, 0.2036978E+01, 0.2037299E+01, 0.2036776E+01,
 0.4360000E+01, 0.2028656E+01, 0.2040211E+01, 0.2040533E+01, 0.2040009E+01,
 0.4380000E+01, 0.2031857E+01, 0.2043435E+01, 0.2043758E+01, 0.2043233E+01,
