@POUT,PCX,PIE,PRL,PCON [MW]  vs t@
X,POUT,PCX,PIE,PRL,PCON
 0.1440000E+01, 0.3286327E+02, 0.0000000E+00, 0.0000000E+00, 0.3239273E+01, 0.2962399E+02,
 0.1460000E+01, 0.3286818E+02, 0.0000000E+00, 0.0000000E+00, 0.3243237E+01, 0.2962494E+02,
 0.1480000E+01, 0.3287318E+02, 0.0000000E+00, 0.0000000E+00, 0.3247173E+01, 0.2962601E+02,
 0.1500000E+01, 0.3287828E+02, 0.0000000E+00, 0.0000000E+00, 0.3251079E+01, 0.2962720E+02,
 0.1520000E+01, 0.3288347E+02, 0.0000000E+00, 0.0000000E+00, 0.3254957E+01, 0.2962852E+02,
 0.1540000E+01, 0.3288875E+02, 0.0000000E+00, 0.0000000E+00, 0.3258807E+01, 0.2962994E+02,
 0.1560000E+01, 0.3289411E+02, 0.0000000E+00, 0.0000000E+00, 0.3262628E+01, 0.2963148E+02,
 0.1580000E+01, 0.3289956E+02, 0.0000000E+00, 0.0000000E+00, 0.3266421E+01, 0.2963314E+02,
 0.1600000E+01, 0.3290509E+02, 0.0000000E+00, 0.0000000E+00, 0.3270187E+01, 0.2963490E+02,
 0.1620000E+01, 0.3291069E+02, 0.0000000E+00, 0.0000000E+00, 0.3273925E+01, 0.2963677E+02,
 0.1640000E+01, 0.3291638E+02, 0.0000000E+00, 0.0000000E+00, 0.3277635E+01, 0.2963874E+02,
 0.1660000E+01, 0.3292213E+02, 0.0000000E+00, 0.0000000E+00, 0.3281318E+01, 0.2964082E+02,
 0.1680000E+01, 0.3292796E+02, 0.0000000E+00, 0.0000000E+00, 0.3284974E+01, 0.2964299E+02,
 0.1700000E+01, 0.3293386E+02, 0.0000000E+00, 0.0000000E+00, 0.3288604E+01, 0.2964526E+02,
 0.1720000E+01, 0.3293983E+02, 0.0000000E+00, 0.0000000E+00, 0.3292206E+01, 0.2964762E+02,
 0.1740000E+01, 0.3294586E+02, 0.0000000E+00, 0.0000000E+00, 0.3295782E+01, 0.2965008E+02,
 0.1760000E+01, 0.3295195E+02, 0.0000000E+00, 0.0000000E+00, 0.3299332E+01, 0.2965262E+02,
 0.1780000E+01, 0.3295810E+02, 0.0000000E+00, 0.0000000E+00, 0.3302855E+01, 0.2965524E+02,
 0.1800000E+01, 0.3296431E+02, 0.0000000E+00, 0.0000000E+00, 0.3306352E+01, 0.2965796E+02,
 0.1820000E+01, 0.3297057E+02, 0.0000000E+00, 0.0000000E+00, 0.3309823E+01, 0.2966075E+02,
 0.1840000E+01, 0.3297688E+02, 0.0000000E+00, 0.0000000E+00, 0.3313269E+01, 0.2966361E+02,
 0.1860000E+01, 0.3298325E+02, 0.0000000E+00, 0.0000000E+00, 0.3316689E+01, 0.2966656E+02,
 0.1880000E+01, 0.3298965E+02, 0.0000000E+00, 0.0000000E+00, 0.3320083E+01, 0.2966957E+02,
 0.1900000E+01, 0.3299611E+02, 0.0000000E+00, 0.0000000E+00, 0.3323452E+01, 0.2967266E+02,
 0.1920000E+01, 0.3300261E+02, 0.0000000E+00, 0.0000000E+00, 0.3326796E+01, 0.2967581E+02,
 0.1940000E+01, 0.3300914E+02, 0.0000000E+00, 0.0000000E+00, 0.3330115E+01, 0.2967903E+02,
 0.1960000E+01, 0.3301572E+02, 0.0000000E+00, 0.0000000E+00, 0.3333410E+01, 0.2968231E+02,
 0.1980000E+01, 0.3302233E+02, 0.0000000E+00, 0.0000000E+00, 0.3336679E+01, 0.2968565E+02,
 0.2000000E+01, 0.3302897E+02, 0.0000000E+00, 0.0000000E+00, 0.3339924E+01, 0.2968905E+02,
 0.2020000E+01, 0.3303565E+02, 0.0000000E+00, 0.0000000E+00, 0.3343144E+01, 0.2969250E+02,
 0.2040000E+01, 0.3304235E+02, 0.0000000E+00, 0.0000000E+00, 0.3346341E+01, 0.2969601E+02,
