@WF,WB,WI,WE [MJ]  vs t@
X,WF,WB,WI,WE
 0.2420000E+01, 0.4335767E+02, 0.4335519E+02, 0.4335519E+02, 0.2237145E+02,
 0.2440000E+01, 0.4343497E+02, 0.4343246E+02, 0.4343246E+02, 0.2241099E+02,
 0.2460000E+01, 0.4351172E+02, 0.4350918E+02, 0.4350918E+02, 0.2245025E+02,
 0.2480000E+01, 0.4358793E+02, 0.4358536E+02, 0.4358536E+02, 0.2248923E+02,
 0.2500000E+01, 0.4366360E+02, 0.4366100E+02, 0.4366100E+02, 0.2252793E+02,
 0.2520000E+01, 0.4373873E+02, 0.4373610E+02, 0.4373610E+02, 0.2256636E+02,
 0.2540000E+01, 0.4381333E+02, 0.4381066E+02, 0.4381066E+02, 0.2260451E+02,
 0.2560000E+01, 0.4388741E+02, 0.4388470E+02, 0.4388470E+02, 0.2264240E+02,
 0.2580000E+01, 0.4396095E+02, 0.4395822E+02, 0.4395822E+02, 0.2268001E+02,
 0.2600000E+01, 0.4403398E+02, 0.4403122E+02, 0.4403122E+02, 0.2271736E+02,
 0.2620000E+01, 0.4410649E+02, 0.4410370E+02, 0.4410370E+02, 0.2275445E+02,
 0.2640000E+01, 0.4417850E+02, 0.4417567E+02, 0.4417567E+02, 0.2279127E+02,
 0.2660000E+01, 0.4424999E+02, 0.4424713E+02, 0.4424713E+02, 0.2282784E+02,
 0.2680000E+01, 0.4432098E+02, 0.4431808E+02, 0.4431808E+02, 0.2286414E+02,
 0.2700000E+01, 0.4439147E+02, 0.4438854E+02, 0.4438854E+02, 0.2290019E+02,
 0.2720000E+01, 0.4446146E+02, 0.4445850E+02, 0.4445850E+02, 0.2293598E+02,
 0.2740000E+01, 0.4453097E+02, 0.4452797E+02, 0.4452797E+02, 0.2297153E+02,
 0.2760000E+01, 0.4459998E+02, 0.4459695E+02, 0.4459695E+02, 0.2300682E+02,
 0.2780000E+01, 0.4466851E+02, 0.4466545E+02, 0.4466545E+02, 0.2304186E+02,
 0.2800000E+01, 0.4473656E+02, 0.4473346E+02, 0.4473346E+02, 0.2307666E+02,
 0.2820000E+01, 0.4480413E+02, 0.4480100E+02, 0.4480100E+02, 0.2311122E+02,
 0.2840000E+01, 0.4487122E+02, 0.4486807E+02, 0.4486807E+02, 0.2314553E+02,
 0.2860000E+01, 0.4493785E+02, 0.4493466E+02, 0.4493466E+02, 0.2317960E+02,
