@TAUE1,TAUE2,TAUE89  vs t@
X,TAUE1,TAUE2,TAUE89
 0.2060000E+01, 0.1015506E+01, 0.1137676E+01, 0.3336676E+01,
 0.2080000E+01, 0.1018253E+01, 0.1139856E+01, 0.3337683E+01,
 0.2100000E+01, 0.1020981E+01, 0.1142018E+01, 0.3338681E+01,
 0.2120000E+01, 0.1023692E+01, 0.1144162E+01, 0.3339670E+01,
 0.2140000E+01, 0.1026385E+01, 0.1146287E+01, 0.3340650E+01,
 0.2160000E+01, 0.1029059E+01, 0.1148394E+01, 0.3341620E+01,
 0.2180000E+01, 0.1031716E+01, 0.1150484E+01, 0.3342582E+01,
 0.2200000E+01, 0.1034356E+01, 0.1152556E+01, 0.3343534E+01,
 0.2220000E+01, 0.1036977E+01, 0.1154611E+01, 0.3344478E+01,
 0.2240000E+01, 0.1039581E+01, 0.1156648E+01, 0.3345413E+01,
 0.2260000E+01, 0.1042168E+01, 0.1158669E+01, 0.3346340E+01,
 0.2280000E+01, 0.1044738E+01, 0.1160672E+01, 0.3347258E+01,
 0.2300000E+01, 0.1047290E+01, 0.1162659E+01, 0.3348168E+01,
 0.2320000E+01, 0.1049826E+01, 0.1164629E+01, 0.3349069E+01,
 0.2340000E+01, 0.1052344E+01, 0.1166583E+01, 0.3349962E+01,
 0.2360000E+01, 0.1054846E+01, 0.1168521E+01, 0.3350847E+01,
 0.2380000E+01, 0.1057331E+01, 0.1170443E+01, 0.3351724E+01,
 0.2400000E+01, 0.1059799E+01, 0.1172349E+01, 0.3352593E+01,
 0.2420000E+01, 0.1062251E+01, 0.1174239E+01, 0.3353454E+01,
 0.2440000E+01, 0.1064687E+01, 0.1176113E+01, 0.3354307E+01,
 0.2460000E+01, 0.1067106E+01, 0.1177973E+01, 0.3355153E+01,
 0.2480000E+01, 0.1069509E+01, 0.1179817E+01, 0.3355991E+01,
 0.2500000E+01, 0.1071896E+01, 0.1181646E+01, 0.3356821E+01,
