@TE,TD,<TE>,<TD> [keV]  vs t@
X,TE,TD,<TE>,<TD>
 0.2020000E+00, 0.4997044E+01, 0.4988598E+01, 0.3089210E+01, 0.2849459E+01,
 0.2040000E+00, 0.4997203E+01, 0.4988687E+01, 0.3089499E+01, 0.2848540E+01,
 0.2060000E+00, 0.4997361E+01, 0.4988776E+01, 0.3089805E+01, 0.2847651E+01,
 0.2080000E+00, 0.4997519E+01, 0.4988866E+01, 0.3090128E+01, 0.2846791E+01,
 0.2100000E+00, 0.4997675E+01, 0.4988958E+01, 0.3090468E+01, 0.2845959E+01,
 0.2120000E+00, 0.4997832E+01, 0.4989051E+01, 0.3090824E+01, 0.2845156E+01,
 0.2140000E+00, 0.4997987E+01, 0.4989145E+01, 0.3091196E+01, 0.2844381E+01,
 0.2160000E+00, 0.4998143E+01, 0.4989241E+01, 0.3091582E+01, 0.2843632E+01,
 0.2180000E+00, 0.4998297E+01, 0.4989337E+01, 0.3091984E+01, 0.2842910E+01,
 0.2200000E+00, 0.4998451E+01, 0.4989434E+01, 0.3092400E+01, 0.2842214E+01,
 0.2220000E+00, 0.4998604E+01, 0.4989533E+01, 0.3092831E+01, 0.2841543E+01,
 0.2240000E+00, 0.4998757E+01, 0.4989633E+01, 0.3093275E+01, 0.2840897E+01,
 0.2260000E+00, 0.4998910E+01, 0.4989733E+01, 0.3093733E+01, 0.2840275E+01,
 0.2280000E+00, 0.4999062E+01, 0.4989835E+01, 0.3094204E+01, 0.2839678E+01,
 0.2300000E+00, 0.4999213E+01, 0.4989938E+01, 0.3094688E+01, 0.2839104E+01,
 0.2320000E+00, 0.4999364E+01, 0.4990041E+01, 0.3095185E+01, 0.2838553E+01,
 0.2340000E+00, 0.4999515E+01, 0.4990146E+01, 0.3095694E+01, 0.2838026E+01,
 0.2360000E+00, 0.4999665E+01, 0.4990251E+01, 0.3096215E+01, 0.2837520E+01,
 0.2380000E+00, 0.4999815E+01, 0.4990357E+01, 0.3096748E+01, 0.2837036E+01,
 0.2400000E+00, 0.4999964E+01, 0.4990464E+01, 0.3097292E+01, 0.2836575E+01,
 0.2420000E+00, 0.5000113E+01, 0.4990571E+01, 0.3097848E+01, 0.2836134E+01,
 0.2440000E+00, 0.5000261E+01, 0.4990680E+01, 0.3098416E+01, 0.2835714E+01,
 0.2460000E+00, 0.5000409E+01, 0.4990789E+01, 0.3098994E+01, 0.2835315E+01,
 0.2480000E+00, 0.5000557E+01, 0.4990900E+01, 0.3099582E+01, 0.2834935E+01,
