@PIN,POH,PNB,PRF,PNF,PEX [MW]  vs t@
X,PIN,POH,PNB,PRF,PNF,PEX
 0.1720000E+00, 0.1436623E+03, 0.2501994E+02, 0.0000000E+00, 0.1050000E+03, 0.1364232E+02, 0.1050000E+03,
 0.1740000E+00, 0.1437855E+03, 0.2511573E+02, 0.0000000E+00, 0.1050000E+03, 0.1366974E+02, 0.1050000E+03,
 0.1760000E+00, 0.1439065E+03, 0.2520912E+02, 0.0000000E+00, 0.1050000E+03, 0.1369737E+02, 0.1050000E+03,
 0.1780000E+00, 0.1440255E+03, 0.2530027E+02, 0.0000000E+00, 0.1050000E+03, 0.1372521E+02, 0.1050000E+03,
 0.1800000E+00, 0.1441425E+03, 0.2538930E+02, 0.0000000E+00, 0.1050000E+03, 0.1375325E+02, 0.1050000E+03,
 0.1820000E+00, 0.1442578E+03, 0.2547635E+02, 0.0000000E+00, 0.1050000E+03, 0.1378150E+02, 0.1050000E+03,
 0.1840000E+00, 0.1443715E+03, 0.2556152E+02, 0.0000000E+00, 0.1050000E+03, 0.1380993E+02, 0.1050000E+03,
 0.1860000E+00, 0.1444835E+03, 0.2564492E+02, 0.0000000E+00, 0.1050000E+03, 0.1383856E+02, 0.1050000E+03,
 0.1880000E+00, 0.1445940E+03, 0.2572664E+02, 0.0000000E+00, 0.1050000E+03, 0.1386737E+02, 0.1050000E+03,
 0.1900000E+00, 0.1447031E+03, 0.2580677E+02, 0.0000000E+00, 0.1050000E+03, 0.1389637E+02, 0.1050000E+03,
 0.1920000E+00, 0.1448109E+03, 0.2588537E+02, 0.0000000E+00, 0.1050000E+03, 0.1392554E+02, 0.1050000E+03,
 0.1940000E+00, 0.1449174E+03, 0.2596252E+02, 0.0000000E+00, 0.1050000E+03, 0.1395489E+02, 0.1050000E+03,
 0.1960000E+00, 0.1450227E+03, 0.2603829E+02, 0.0000000E+00, 0.1050000E+03, 0.1398441E+02, 0.1050000E+03,
 0.1980000E+00, 0.1451268E+03, 0.2611273E+02, 0.0000000E+00, 0.1050000E+03, 0.1401410E+02, 0.1050000E+03,
 0.2000000E+00, 0.1452298E+03, 0.2618590E+02, 0.0000000E+00, 0.1050000E+03, 0.1404395E+02, 0.1050000E+03,
 0.2020000E+00, 0.1453318E+03, 0.2625785E+02, 0.0000000E+00, 0.1050000E+03, 0.1407396E+02, 0.1050000E+03,
 0.2040000E+00, 0.1454327E+03, 0.2632862E+02, 0.0000000E+00, 0.1050000E+03, 0.1410412E+02, 0.1050000E+03,
 0.2060000E+00, 0.1455327E+03, 0.2639827E+02, 0.0000000E+00, 0.1050000E+03, 0.1413444E+02, 0.1050000E+03,
 0.2080000E+00, 0.1456317E+03, 0.2646682E+02, 0.0000000E+00, 0.1050000E+03, 0.1416491E+02, 0.1050000E+03,
