@BETAa,BETA0,[%],BETAN  vs t@
X,Y1,Y2,Y3
 0.3120000E+00, 0.6703117E+00, 0.1801489E+01, 0.7496448E+00,
 0.3140000E+00, 0.6704390E+00, 0.1801538E+01, 0.7497871E+00,
 0.3160000E+00, 0.6705683E+00, 0.1801588E+01, 0.7499318E+00,
 0.3180000E+00, 0.6706997E+00, 0.1801637E+01, 0.7500786E+00,
 0.3200000E+00, 0.6708329E+00, 0.1801687E+01, 0.7502276E+00,
 0.3220000E+00, 0.6709682E+00, 0.1801736E+01, 0.7503790E+00,
 0.3240000E+00, 0.6711054E+00, 0.1801786E+01, 0.7505323E+00,
 0.3260000E+00, 0.6712445E+00, 0.1801835E+01, 0.7506880E+00,
 0.3280000E+00, 0.6713855E+00, 0.1801885E+01, 0.7508456E+00,
 0.3300000E+00, 0.6715283E+00, 0.1801935E+01, 0.7510053E+00,
 0.3320000E+00, 0.6716729E+00, 0.1801984E+01, 0.7511671E+00,
 0.3340000E+00, 0.6718194E+00, 0.1802034E+01, 0.7513309E+00,
 0.3360000E+00, 0.6719676E+00, 0.1802084E+01, 0.7514966E+00,
 0.3380000E+00, 0.6721176E+00, 0.1802134E+01, 0.7516643E+00,
 0.3400000E+00, 0.6722693E+00, 0.1802184E+01, 0.7518340E+00,
 0.3420000E+00, 0.6724226E+00, 0.1802234E+01, 0.7520055E+00,
 0.3440000E+00, 0.6725778E+00, 0.1802284E+01, 0.7521790E+00,
 0.3460000E+00, 0.6727345E+00, 0.1802333E+01, 0.7523543E+00,
 0.3480000E+00, 0.6728929E+00, 0.1802383E+01, 0.7525315E+00,
 0.3500000E+00, 0.6730530E+00, 0.1802433E+01, 0.7527105E+00,
 0.3520000E+00, 0.6732146E+00, 0.1802484E+01, 0.7528911E+00,
 0.3540000E+00, 0.6733778E+00, 0.1802534E+01, 0.7530738E+00,
 0.3560000E+00, 0.6735425E+00, 0.1802584E+01, 0.7532579E+00,
 0.3580000E+00, 0.6737088E+00, 0.1802634E+01, 0.7534439E+00,
 0.3600000E+00, 0.6738766E+00, 0.1802684E+01, 0.7536315E+00,
 0.3620000E+00, 0.6740459E+00, 0.1802734E+01, 0.7538209E+00,
 0.3640000E+00, 0.6742167E+00, 0.1802785E+01, 0.7540119E+00,
 0.3660000E+00, 0.6743889E+00, 0.1802835E+01, 0.7542045E+00,
 0.3680000E+00, 0.6745626E+00, 0.1802885E+01, 0.7543987E+00,
 0.3700000E+00, 0.6747377E+00, 0.1802936E+01, 0.7545946E+00,
 0.3720000E+00, 0.6749141E+00, 0.1802986E+01, 0.7547919E+00,
 0.3740000E+00, 0.6750920E+00, 0.1803037E+01, 0.7549908E+00,
 0.3760000E+00, 0.6752713E+00, 0.1803087E+01, 0.7551913E+00,
 0.3780000E+00, 0.6754519E+00, 0.1803138E+01, 0.7553933E+00,
 0.3800000E+00, 0.6756338E+00, 0.1803188E+01, 0.7555968E+00,
 0.3820000E+00, 0.6758171E+00, 0.1803239E+01, 0.7558017E+00,
 0.3840000E+00, 0.6760016E+00, 0.1803289E+01, 0.7560081E+00,
 0.3860000E+00, 0.6761874E+00, 0.1803340E+01, 0.7562158E+00,
 0.3880000E+00, 0.6763745E+00, 0.1803391E+01, 0.7564251E+00,
 0.3900000E+00, 0.6765628E+00, 0.1803441E+01, 0.7566357E+00,
 0.3920000E+00, 0.6767524E+00, 0.1803492E+01, 0.7568477E+00,
 0.3940000E+00, 0.6769432E+00, 0.1803543E+01, 0.7570611E+00,
 0.3960000E+00, 0.6771352E+00, 0.1803593E+01, 0.7572758E+00,
 0.3980000E+00, 0.6773284E+00, 0.1803644E+01, 0.7574919E+00,
 0.4000000E+00, 0.6775228E+00, 0.1803695E+01, 0.7577093E+00,
 0.4020000E+00, 0.6777183E+00, 0.1803746E+01, 0.7579280E+00,
 0.4040000E+00, 0.6779150E+00, 0.1803797E+01, 0.7581479E+00,
 0.4060000E+00, 0.6781128E+00, 0.1803848E+01, 0.7583691E+00,
 0.4080000E+00, 0.6783117E+00, 0.1803899E+01, 0.7585915E+00,
 0.4100000E+00, 0.6785117E+00, 0.1803949E+01, 0.7588153E+00,
 0.4120000E+00, 0.6787128E+00, 0.1804000E+01, 0.7590402E+00,
 0.4140000E+00, 0.6789150E+00, 0.1804052E+01, 0.7592662E+00,
 0.4160000E+00, 0.6791182E+00, 0.1804103E+01, 0.7594935E+00,
 0.4180000E+00, 0.6793225E+00, 0.1804154E+01, 0.7597221E+00,
 0.4200000E+00, 0.6795279E+00, 0.1804205E+01, 0.7599517E+00,
 0.4220000E+00, 0.6797342E+00, 0.1804256E+01, 0.7601824E+00,
 0.4240000E+00, 0.6799416E+00, 0.1804307E+01, 0.7604144E+00,
 0.4260000E+00, 0.6801500E+00, 0.1804358E+01, 0.7606474E+00,
 0.4280000E+00, 0.6803593E+00, 0.1804409E+01, 0.7608815E+00,
 0.4300000E+00, 0.6805696E+00, 0.1804460E+01, 0.7611167E+00,
 0.4320000E+00, 0.6807809E+00, 0.1804512E+01, 0.7613530E+00,
 0.4340000E+00, 0.6809932E+00, 0.1804563E+01, 0.7615904E+00,
 0.4360000E+00, 0.6812063E+00, 0.1804614E+01, 0.7618288E+00,
 0.4380000E+00, 0.6814204E+00, 0.1804665E+01, 0.7620682E+00,
 0.4400000E+00, 0.6816355E+00, 0.1804717E+01, 0.7623087E+00,
 0.4420000E+00, 0.6818514E+00, 0.1804768E+01, 0.7625502E+00,
 0.4440000E+00, 0.6820683E+00, 0.1804819E+01, 0.7627928E+00,
 0.4460000E+00, 0.6822860E+00, 0.1804871E+01, 0.7630362E+00,
 0.4480000E+00, 0.6825046E+00, 0.1804922E+01, 0.7632807E+00,
 0.4500000E+00, 0.6827241E+00, 0.1804974E+01, 0.7635261E+00,
 0.4520000E+00, 0.6829444E+00, 0.1805025E+01, 0.7637725E+00,
 0.4540000E+00, 0.6831656E+00, 0.1805077E+01, 0.7640198E+00,
