@BETAPa,BETAP0  vs t@
X,BETAPa,BETAP0
 0.2740000E+01, 0.1761211E+00, 0.3454351E+00,
 0.2760000E+01, 0.1763941E+00, 0.3462925E+00,
 0.2780000E+01, 0.1766651E+00, 0.3471465E+00,
 0.2800000E+01, 0.1769342E+00, 0.3479969E+00,
 0.2820000E+01, 0.1772015E+00, 0.3488438E+00,
 0.2840000E+01, 0.1774669E+00, 0.3496873E+00,
 0.2860000E+01, 0.1777304E+00, 0.3505273E+00,
 0.2880000E+01, 0.1779920E+00, 0.3513640E+00,
 0.2900000E+01, 0.1782519E+00, 0.3521973E+00,
 0.2920000E+01, 0.1785099E+00, 0.3530272E+00,
 0.2940000E+01, 0.1787661E+00, 0.3538538E+00,
 0.2960000E+01, 0.1790206E+00, 0.3546771E+00,
 0.2980000E+01, 0.1792733E+00, 0.3554971E+00,
 0.3000000E+01, 0.1795242E+00, 0.3563139E+00,
 0.3020000E+01, 0.1797734E+00, 0.3571275E+00,
 0.3040000E+01, 0.1800208E+00, 0.3579378E+00,
 0.3060000E+01, 0.1802665E+00, 0.3587450E+00,
 0.3080000E+01, 0.1805106E+00, 0.3595491E+00,
 0.3100000E+01, 0.1807529E+00, 0.3603500E+00,
 0.3120000E+01, 0.1809936E+00, 0.3611478E+00,
 0.3140000E+01, 0.1812326E+00, 0.3619425E+00,
 0.3160000E+01, 0.1814700E+00, 0.3627342E+00,
 0.3180000E+01, 0.1817057E+00, 0.3635229E+00,
 0.3200000E+01, 0.1819398E+00, 0.3643085E+00,
 0.3220000E+01, 0.1821723E+00, 0.3650912E+00,
 0.3240000E+01, 0.1824032E+00, 0.3658709E+00,
 0.3260000E+01, 0.1826325E+00, 0.3666476E+00,
 0.3280000E+01, 0.1828603E+00, 0.3674214E+00,
 0.3300000E+01, 0.1830865E+00, 0.3681924E+00,
 0.3320000E+01, 0.1833111E+00, 0.3689605E+00,
 0.3340000E+01, 0.1835342E+00, 0.3697257E+00,
 0.3360000E+01, 0.1837558E+00, 0.3704880E+00,
 0.3380000E+01, 0.1839759E+00, 0.3712476E+00,
 0.3400000E+01, 0.1841945E+00, 0.3720044E+00,
 0.3420000E+01, 0.1844116E+00, 0.3727584E+00,
 0.3440000E+01, 0.1846272E+00, 0.3735096E+00,
 0.3460000E+01, 0.1848414E+00, 0.3742582E+00,
 0.3480000E+01, 0.1850542E+00, 0.3750040E+00,
 0.3500000E+01, 0.1852654E+00, 0.3757471E+00,
 0.3520000E+01, 0.1854753E+00, 0.3764876E+00,
 0.3540000E+01, 0.1856838E+00, 0.3772254E+00,
 0.3560000E+01, 0.1858908E+00, 0.3779606E+00,
 0.3580000E+01, 0.1860965E+00, 0.3786932E+00,
 0.3600000E+01, 0.1863008E+00, 0.3794232E+00,
 0.3620000E+01, 0.1865037E+00, 0.3801506E+00,
 0.3640000E+01, 0.1867053E+00, 0.3808755E+00,
 0.3660000E+01, 0.1869055E+00, 0.3815978E+00,
 0.3680000E+01, 0.1871044E+00, 0.3823176E+00,
 0.3700000E+01, 0.1873019E+00, 0.3830349E+00,
 0.3720000E+01, 0.1874982E+00, 0.3837498E+00,
 0.3740000E+01, 0.1876932E+00, 0.3844621E+00,
 0.3760000E+01, 0.1878868E+00, 0.3851720E+00,
 0.3780000E+01, 0.1880792E+00, 0.3858795E+00,
 0.3800000E+01, 0.1882703E+00, 0.3865846E+00,
 0.3820000E+01, 0.1884602E+00, 0.3872873E+00,
 0.3840000E+01, 0.1886488E+00, 0.3879877E+00,
 0.3860000E+01, 0.1888361E+00, 0.3886856E+00,
 0.3880000E+01, 0.1890223E+00, 0.3893813E+00,
 0.3900000E+01, 0.1892072E+00, 0.3900746E+00,
 0.3920000E+01, 0.1893909E+00, 0.3907655E+00,
 0.3940000E+01, 0.1895734E+00, 0.3914542E+00,
 0.3960000E+01, 0.1897547E+00, 0.3921407E+00,
 0.3980000E+01, 0.1899348E+00, 0.3928249E+00,
 0.4000000E+01, 0.1901138E+00, 0.3935068E+00,
 0.4020000E+01, 0.1902916E+00, 0.3941865E+00,
 0.4040000E+01, 0.1904683E+00, 0.3948640E+00,
