psi_index,theta_index,theta_rad,R_m,Z_m,PSIP
   2,  31,  0.29452431E+01,  0.85188046E+01,  0.89852989E+00,  0.26496535E-01
   2,  32,  0.30434179E+01,  0.85184746E+01,  0.89311087E+00,  0.26496535E-01
   2,  33,  0.31415927E+01,  0.85184097E+01,  0.88768214E+00,  0.26496535E-01
   2,  34,  0.32397674E+01,  0.85186071E+01,  0.88225657E+00,  0.26496535E-01
   2,  35,  0.33379422E+01,  0.85190649E+01,  0.87684679E+00,  0.26496535E-01
   2,  36,  0.34361170E+01,  0.85197849E+01,  0.87146580E+00,  0.26496535E-01
   2,  37,  0.35342917E+01,  0.85207767E+01,  0.86612803E+00,  0.26496535E-01
   2,  38,  0.36324665E+01,  0.85220509E+01,  0.86085075E+00,  0.26496535E-01
   2,  39,  0.37306413E+01,  0.85236235E+01,  0.85565472E+00,  0.26496535E-01
   2,  40,  0.38288160E+01,  0.85255136E+01,  0.85056573E+00,  0.26496535E-01
   2,  41,  0.39269908E+01,  0.85277452E+01,  0.84561682E+00,  0.26496535E-01
   2,  42,  0.40251656E+01,  0.85303431E+01,  0.84085113E+00,  0.26496535E-01
   2,  43,  0.41233404E+01,  0.85333405E+01,  0.83632582E+00,  0.26496535E-01
   2,  44,  0.42215151E+01,  0.85367680E+01,  0.83211780E+00,  0.26496535E-01
   2,  45,  0.43196899E+01,  0.85406532E+01,  0.82832992E+00,  0.26496535E-01
   2,  46,  0.44178647E+01,  0.85450106E+01,  0.82509911E+00,  0.26496535E-01
   2,  47,  0.45160394E+01,  0.85498228E+01,  0.82259870E+00,  0.26496535E-01
   2,  48,  0.46142142E+01,  0.85550089E+01,  0.82101971E+00,  0.26496535E-01
   2,  49,  0.47123890E+01,  0.85604057E+01,  0.82051939E+00,  0.26496535E-01
   2,  50,  0.48105638E+01,  0.85657883E+01,  0.82115322E+00,  0.26496535E-01
   2,  51,  0.49087385E+01,  0.85709381E+01,  0.82284600E+00,  0.26496535E-01
   2,  52,  0.50069133E+01,  0.85757055E+01,  0.82543194E+00,  0.26496535E-01
   2,  53,  0.51050881E+01,  0.85800180E+01,  0.82872272E+00,  0.26496535E-01
   2,  54,  0.52032628E+01,  0.85838633E+01,  0.83255184E+00,  0.26496535E-01
   2,  55,  0.53014376E+01,  0.85872555E+01,  0.83678812E+00,  0.26496535E-01
   2,  56,  0.53996124E+01,  0.85902233E+01,  0.84133309E+00,  0.26496535E-01
   2,  57,  0.54977871E+01,  0.85927944E+01,  0.84611362E+00,  0.26496535E-01
   2,  58,  0.55959619E+01,  0.85949974E+01,  0.85107499E+00,  0.26496535E-01
   2,  59,  0.56941367E+01,  0.85968561E+01,  0.85617548E+00,  0.26496535E-01
   2,  60,  0.57923115E+01,  0.85983915E+01,  0.86138278E+00,  0.26496535E-01
   2,  61,  0.58904862E+01,  0.85996189E+01,  0.86667097E+00,  0.26496535E-01
   2,  62,  0.59886610E+01,  0.86005545E+01,  0.87201875E+00,  0.26496535E-01
   2,  63,  0.60868358E+01,  0.86012077E+01,  0.87740833E+00,  0.26496535E-01
   2,  64,  0.61850105E+01,  0.86015854E+01,  0.88282424E+00,  0.26496535E-01
   3,   1,  0.00000000E+00,  0.86424580E+01,  0.88825232E+00,  0.11100256E+00
